Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,167.09848,249.26698,189.12173,248.27191
296.9091,168.32118,251.24432,190.55923,250.31134
440.81818,169.58199,253.28734,192.04254,252.41837
584.7273,170.86368,255.36008,193.5494,254.55603
728.63635,172.15334,257.44403,195.06528,256.7053
872.5455,173.44342,259.53235,196.5827,258.859
1016.4545,174.73062,261.62436,198.09906,261.01645
1160.3636,176.01434,263.72147,199.61418,263.17902
1304.2727,177.29506,265.82523,201.12885,265.34818
1448.1818,178.57344,267.9361,202.64366,267.52454
1592.091,179.84995,270.0539,204.15894,269.70786
1736.0,181.12466,272.17773,205.67444,271.89722
1879.909,182.3974,274.30646,207.18979,274.09152
2023.8182,183.6677,276.4389,208.70432,276.2895
2167.7273,184.93512,278.5739,210.21736,278.48996
2311.6365,186.19913,280.71048,211.72829,280.69193
2455.5454,187.45924,282.84772,213.23653,282.8945
2599.4546,188.71504,284.98477,214.7415,285.09677
2743.3635,189.96611,287.12076,216.24266,287.29782
2887.2727,191.21204,289.2548,217.73949,289.49677
3031.182,192.45238,291.38583,219.23138,291.69263
3175.0908,193.68968,293.5185,220.72144,293.88995
3319.0,194.92111,295.6473,222.2061,296.08322
3462.9092,196.1466,297.7721,223.68529,298.27234
3606.818,197.36603,299.8924,225.15877,300.45667
3750.7273,198.5791,302.00742,226.62611,302.63556
3894.6365,199.78543,304.11642,228.08687,304.80814
4038.5454,200.98473,306.21857,229.54056,306.9736
4182.4546,202.17664,308.31305,230.98672,309.1311
4326.364,203.36086,310.39908,232.4249,311.27985
4470.273,204.53702,312.47586,233.85464,313.419
4614.1816,205.70485,314.54266,235.27554,315.54782
4758.091,206.86403,316.5987,236.68715,317.66553
4902.0,208.01428,318.64328,238.08904,319.77136
5045.909,209.15526,320.67563,239.48077,321.8646
5189.8184,210.2867,322.69504,240.862,323.94443
5333.727,211.40831,324.7008,242.23225,326.01013
5477.636,212.5198,326.69217,243.59116,328.06104
5621.5454,213.62093,328.66852,244.93834,330.0964
5765.4546,214.71143,330.62915,246.27339,332.1155
5909.364,215.791,332.5734,247.59601,334.11774
6053.273,216.85942,334.5006,248.90573,336.1024
6197.1816,217.91644,336.4102,250.20233,338.06885
6341.091,218.9619,338.3016,251.48541,340.01654
6485.0,219.99551,340.17416,252.75468,341.9448
6628.909,221.01712,342.02737,254.00984,343.85312
6772.8184,222.02644,343.86072,255.25056,345.74084
6916.727,223.02339,345.67358,256.4766,347.60754
7060.636,224.0077,347.4655,257.68768,349.4526
7204.5454,224.97925,349.23605,258.88348,351.27557
7348.4546,225.93787,350.98468,260.06384,353.07593
7492.364,226.88338,352.71097,261.22845,354.8533
7636.273,227.81566,354.41446,262.37717,356.60712
7780.1816,228.73457,356.0948,263.5097,358.33704
7924.091,229.63998,357.75162,264.62592,360.04266
8068.0,230.53177,359.38446,265.7256,361.7236
8211.909,231.40985,360.99304,266.80853,363.37952
8355.818,232.27415,362.57706,267.87466,365.01004
8499.728,233.12454,364.1362,268.9238,366.6149
8643.637,233.96098,365.67023,269.9558,368.19385
8787.546,234.7834,367.17883,270.97058,369.74655
8931.454,235.59175,368.66183,271.96805,371.27283
9075.363,236.38597,370.11905,272.94812,372.7725
9219.272,237.1661,371.5503,273.91068,374.24536
9363.182,237.93205,372.95544,274.85577,375.69135
9507.091,238.68387,374.33432,275.7833,377.1102
9651.0,239.42154,375.68695,276.69324,378.50198
9794.909,240.14508,377.0132,277.5856,379.86652
9938.818,240.85455,378.3131,278.46042,381.20386
10082.728,241.54994,379.58658,279.31772,382.51398
10226.637,242.23135,380.8337,280.15756,383.79684
10370.546,242.89886,382.0545,280.97995,385.05255
10514.454,243.55249,383.24905,281.7851,386.28125
10658.363,244.19238,384.4175,282.5729,387.4829
10802.272,244.8186,385.55994,283.34363,388.65784
10946.182,245.43124,386.67654,284.09732,389.806
11090.091,246.03046,387.7674,284.83414,390.92767
11234.0,246.61633,388.83286,285.55423,392.02316
11377.909,247.18904,389.87296,286.25772,393.09247
11521.818,247.7487,390.8881,286.94485,394.13605
11665.728,248.29547,391.87848,287.6157,395.15408
11809.637,248.82948,392.84436,288.2706,396.14682
11953.546,249.35094,393.786,288.90958,397.1146
12097.454,249.86,394.70386,289.533,398.0578
12241.363,250.35681,395.59805,290.141,398.9767
12385.272,250.84157,396.46912,290.7338,399.87167
12529.182,251.31448,397.3173,291.31165,400.74307
12673.091,251.77571,398.14297,291.87482,401.5913
12817.0,252.22548,398.94647,292.4235,402.41666
12960.909,252.66394,399.7283,292.95798,403.2197
13104.818,253.09132,400.48877,293.47852,404.00064
13248.728,253.5078,401.22824,293.98535,404.76004
13392.637,253.91362,401.94717,294.47873,405.49826
13536.546,254.30894,402.646,294.95892,406.2157
13680.454,254.694,403.32504,295.4262,406.9128
13824.363,255.069,403.98477,295.8808,407.59003
13968.272,255.43411,404.6256,296.32303,408.24777
14112.182,255.78961,405.24792,296.75314,408.88647
14256.091,256.13562,405.8522,297.1714,409.50656
14400.0,256.4724,406.43878,297.57806,410.1085
